	id	tweet	subtask_a
0	1172	@USER Οι μουσουλμάνες που τις βιάζουν έτσι κ αλλιώς, οπότε τις βολεύει να κυνηγούν εμάς κ να αφήσουν αυτές ήσυχες οι άντρες τους.	OFF
6	7760	@USER Και οι μαλάκες που δικαιολογησαν τον μπάτσο επίσης	OFF
12	1565	@USER Φεύγω μετανάστης σε χώρα με βασιλιά,περιμένω να πεθάνετε όλοι από καρκίνο, γυρνάω ψηφίζω Αλεξαρο. Πάλι νίκη της αριστεράς.	OFF
14	7258	Το #gntmgr κρατα τρεις μήνες μόνο για να μη φαίνεται η κοιλιά αν γκαστρωθεί κάποια κοπέλα.	OFF
18	380	@USER Δεν είναι καν ψήφος διαμαρτυρίας. Εβλεπαν κανάλια, εφημερίδες, παπάδες, τέσσερα χρόνια να λένε Αλέξης ο ψεύτης, ο μπήξε, ο δείξε, δεν έβλεπαν, δεν άκουγαν ΣΥΡΙΖΑ γύρω τους, σου λένε τόσο μαλάκες που είναι να μην απαντάνε, κάτι θα ισχύει απ' όλα αυτά.	OFF
20	770	@USER Γενικά οι γυναίκες το δυναμικό κ το ομορφο ακόμα κ αν ίδιες ανήκουν σε αυτή την κατηγορία δεν το δέχονται.βγαζουν κακια.κ τώρα που υποστηρίζουν τέρμα νταμλα το κάνουν επειδή είναι το αντίπαλο δέος της κατ.αν ας πούμε η νταμλα έβγαζε φωτό με ντανο γκοτση θα την έριχναν στην πυρά.	OFF
23	4189	@USER ΕΙΣΑΙ ΕΝΤΕΛΩΣ ΤΟΠΟΥ ΚΑΙ ΧΡΟΝΟΥ ΣΥΓΚΡΙΝΕΙΣ ΚΑΠΟΙΟΝ ΠΟΥ ΑΝΑΣΤΗΣΕ ΤΗΝ ΕΛΛΑΔΑ ΑΠΟ ΤΗΝ ΣΤΑΧΤΗ -ΚΥΡΙΟΛΕΚΤΙΚΑ ΜΕ ΕΝΑΝ ΤΥΧΑΡΠΑΣΤΟ ΜΙΣΕΛΛΗΝΑ ΠΟΥ ΑΠΛΑ ΔΙΕΛΥΣΕ ΤΑ ΠΑΝΤΑ ΟΠΟΥ ΚΑΙ ΑΝ ΑΣΧΟΛΗΘΗΚΕ ΧΡΕΙΑΖΕΣΑΙ ΑΜΕΣΑ ΨΥΧΙΑΤΡΟ ΟΣΟ ΠΡΟΛΑΒΑΙΝΕΙΣ ΒΕΒΑΙΑ	OFF
27	3019	συν 1 εκατομμυριο φολοερς πηρε το κοριτσι σε 10 ωρες, αλλα αντικειμενικα αυτος ο κωλος το αξιζε.	OFF
29	1249	@USER Βρε άι στο διάολο πανίβλακα που θα μιλήσεις σε γυναίκα έτσι προπαντός όταν δεν έχεις καν ιδέα τι λες. Τράβα πίσω στην σπηλιά και παίξε με τις μπαλίτσες σου. Ηλίθιε, ε ηλίθιε!	OFF
30	2497	συγνωμη ρε μαλακες ειναι τα ροδακινα στην κοζανη αμαζωχτα κι ακομα μαλακιζεστε εδω μεσα	OFF
32	5331	"""Σουζάνα, πάλι σκατά τα πήγες! Σε κρατάμε στο παιχνίδι για το μαναφούκι, αλλά μας έχουν πάρει χαμπάρι και θα μας αρχίσουν στα γιαούρτια!"" #GNTMgr"	OFF
35	7421	Πάρτους σπιτάκι σου αφού τόσο τους αγαπάς αλλά όπως είπε ένας αλληλέγγυος σαν εσένα όταν τον ρώτησαν αυτό ''αλληλέγγυος είμαι μαλάκας δεν είμαι ''.Έτσι δεν είναι ε;	OFF
36	9444	Καλά φωτογραφίζονται με τι κοτες. Να τη μαγειρέψει ξέρει καμμία; #gntmgr	OFF
